author,publication_year,author_year,review,N,age_group,study continent,c_malaria only,t,T,roa,,mortality_e,mortality_n,crt_mean,crt_sd,crt_n,pct_mean,pct_sd,pct_n,fct_mean,fct_sd,fct_n
Anh,1989,Anh et al 1989,s,41,a,Asia,Yes,ASU,Artesunate,Parenteral,,2,19,45.17,30.29,19,,,,,,
Anh,1989,Anh et al 1989,s,41,a,Asia,Yes,QN,Quinine,Parenteral,,7,22,53.6,25.87,22,,,,,,
Win et al,1992,Win et al  1992,n,79,a,Asia,Yes,ASU,Artesunate,Parenteral,,2,24,33.8,9.4,24,41.8,17.55,24,31.4,19.88,24
Win et al,1992,Win et al  1992,n,79,a,Asia,Yes,AME,Artemether,IM,,7,50,37.02,14.7,50,27.3,19.6,50,42.38,28.3,50
Win et al,1992,Win et al  1992,n,79,a,Asia,Yes,QN,Quinine,Parenteral,,23,67,42.5,16.4,67,47.3,22,67,42.6,32.2,67
Karbwang  et al,1992,Karbwang  et al 1992,e,26,a,Asia,No,AME,Artemether,IM,,1,14,,,,63.3,30,14,64.3,27.8,14
Karbwang  et al,1992,Karbwang  et al 1992,e,26,a,Asia,No,QN,Quinine,Parenteral,,5,12,,,,61.6,12.6,12,94,34.7,12
Hien T H et al,1992,Hien T H et al 1992,s,79,a,Asia,Yes,ASU,Artesunate,Parenteral,,5,31,68.9,,31,28.1,11.2,31,39,30,31
Hien T H et al,1992,Hien T H et al 1992,s,79,a,Asia,Yes,AMI,Artemisinin,Rectal,,5,18,56.1,,18,37.9,17.4,18,77,48,18
Hien T H et al,1992,Hien T H et al 1992,s,79,a,Asia,Yes,QN,Quinine,Parenteral,,8,30,58.1,,30,51.2,23.2,30,78,102,30
Walker et al,1993,Walker et al 1993,e,54,c,Africa,Yes,AME,Artemether,IM,,3,25,40.1,30.7,25,39.3,28,25,46.7,20,25
Walker et al,1993,Walker et al 1993,e,54,c,Africa,Yes,QN,Quinine,Parenteral,,6,29,36.7,29.6,29,37.2,21.1,29,57.8,27.31,29
Anh,1995,Anh et al 1995,s,190,a,Asia,Yes,ASU,Artesunate,Parenteral,,8,99,71.3,81,99,10.47,8.24,99,67.36,41.4,99
Anh,1995,Anh et al 1995,s,190,a,Asia,Yes,QN,Quinine,Parenteral,,18,91,58,49,91,16.12,4.25,91,63.3,46.5,91
Karbwang  et al,1995,Karbwang  et al 1995,e,102,a,Asia,No,AME,Artemether,IM,,6,47,,,,,,,,,
Karbwang  et al,1995,Karbwang  et al 1995,e,102,a,Asia,No,QN,Quinine,Parenteral,,19,50,,,,,,,,,
Hien T H et al,1996,Hien T H et al 1996,e,560,a,Asia,No,AME,Artemether,IM,,36,284,,,,,,,,,
Hien T H et al,1996,Hien T H et al 1996,e,560,a,Asia,No,QN,Quinine,Parenteral,,47,276,,,,,,,,,
